"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1342",1328,"LENG4","1328","0.06449007","0.131556096","0.387294963","0.253520337","0.129784495",NA,NA,"-0.033033446","-0.195029844","0.403389434","0.037273746","0.211462312","-0.159855665","0.528728674","0.045626698","0.008573125","-0.01738774","-0.084011041","0.081312895","-0.157550765","0.022888946","-0.145669273","0.068448047",1.137814895
"1343",1329,"1329","1329","-0.025129113","0.211436914","-0.068770098","0.075634071","-0.367173782","-0.622195407","-0.887766618","-0.362104288","0.318055086","0.033860802","-0.015563573","-0.262201144","-0.116403269","-0.753660646","-0.73053263","0.282252321","-0.550275118","-0.071989347","-0.212882344","-0.231129388","-0.022315677","-0.024515705","-0.032286354",1.12014299
"1344",1330,"1330","1330","-0.110688354","-0.0075254","0.014876001","0.198712613","0.071537057","-0.509078095","-0.519466077","-0.189328629","1.018336059","0.077522826","-0.194167406","-0.301826889","-0.244678361","-1.623372337","-0.657593365","0.089009415","-0.593409388","-0.240819672","-0.51174914","-0.235332158","0.134188134","0.077552204","-0.312236672",0.981938591
"1345",1331,"KBTBD5","1331","0.124400482","-0.01337052","0.123942343","0.048840718","-0.081528725","0.155861978","-0.142950815","-0.051275532","0.05073533","0.096249634","0.187146098","0.015130788","0.004167241","-0.572868486","0.016164101","0.059865565","-0.335654198","0.023441414","0.23550125","-0.005357968","0.237932523","-0.022809883","-0.008208665",0.920253754
"1346",1332,"KBTBD5","1332","0.097916527","0.211692533","0.187968322","0.2307453","0.065669704","-0.034854282","-0.163127815","0.041121681","0.067017213","0.298635161","0.284541288","-0.193368927","-0.002654397","-0.8042663","-0.048537839","0.045582245","-0.303778549","0.216717144","0.208910455","0.10642291","0.188290391","0.080071921","-0.031197821",1.182038935
"1347",1333,"CNOT7","ENSG00000198791","-0.293704746","0.465223256","0.17120003","-0.055447356","0.009942803",NA,NA,NA,NA,"-0.424262671","-0.033936961","-0.448927867","-0.255183449","-0.445531528","-0.132464784","0.001033449","-0.110770215","0.268330325","-0.382857094","-0.20478104","-0.113502533","-0.597745805","-0.584962501",0.880743243
"1348",1334,"CNOT7","ENSG00000198791","-0.024705745","0.144283641","0.304194309","0.225718734","-0.001895789",NA,NA,NA,NA,"-0.182786076","0.038819249","-0.434628228","-0.218046951","-0.737514043","-0.33171895","-0.083909438","0.120806721","0.242105501","-0.388565288","-0.424231294","-0.495172867","-0.602158116","-0.336696048",0.92829251
"1349",1335,"SPOCK","1335","-0.027713638","0.512175563","-0.054000367","-0.200127654","0.015767316",NA,NA,NA,NA,"-0.16411938","0.412547947","-0.549130395","0.017035113","0.208586622","0.141508334","0.170044356","-0.213091603","0.039993268",NA,NA,"0.015550157","-0.186983743","-0.41778811",1.25419882
"1350",1336,"SPOCK","1336","0.051491165","0.424040759","0.457244059","0.099535674","-0.140806146",NA,NA,NA,NA,"0.197476074","-0.125615664","0.216406126","-0.456770637","-0.356975042","-0.065415408","-0.048209093","0.764155779","0.018412037",NA,NA,"-0.168453614","-0.328087948","0.012568674",1.272422464
"1351",1337,"1337","1337","-0.62902748","0.294878736","-0.181143885","-0.00816468","-0.362570079",NA,NA,NA,NA,"0.180707052","-0.077841836","0.196848287","0.035726196","-0.392606453","-0.097654715","-0.067872113","-0.248553529","0.408481912","-0.091335609","0.28571521","0.039003716","-0.444825119","-0.330764662",0.883534137
